estrategia_pesos,batch_size,learning_rate,target,descripcion,estado,epocas,mejor_epoca,checkpoint,historial
sin_ponderar,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,43,33,checkpoint_mlp_residual_lr0005_sin_ponderar_iramdeyr_v1.keras,48_historial_mlp_residual_lr0005_sin_ponderar_iramdeyr_v1.csv
sin_ponderar,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,57,47,checkpoint_mlp_residual_lr0005_sin_ponderar_irsuicthnk_v1.keras,48_historial_mlp_residual_lr0005_sin_ponderar_irsuicthnk_v1.csv
sin_ponderar,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,25,15,checkpoint_mlp_residual_lr0005_sin_ponderar_irsuiplanyr_v1.keras,48_historial_mlp_residual_lr0005_sin_ponderar_irsuiplanyr_v1.csv
sin_ponderar,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,31,21,checkpoint_mlp_residual_lr0005_sin_ponderar_irsuitryyr_v1.keras,48_historial_mlp_residual_lr0005_sin_ponderar_irsuitryyr_v1.csv
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,46,36,checkpoint_mlp_residual_lr0005_balanceada_iramdeyr_v1.keras,48_historial_mlp_residual_lr0005_balanceada_iramdeyr_v1.csv
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,36,26,checkpoint_mlp_residual_lr0005_balanceada_irsuicthnk_v1.keras,48_historial_mlp_residual_lr0005_balanceada_irsuicthnk_v1.csv
balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,37,27,checkpoint_mlp_residual_lr0005_balanceada_irsuiplanyr_v1.keras,48_historial_mlp_residual_lr0005_balanceada_irsuiplanyr_v1.csv
balanceada,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,30,20,checkpoint_mlp_residual_lr0005_balanceada_irsuitryyr_v1.keras,48_historial_mlp_residual_lr0005_balanceada_irsuitryyr_v1.csv
