clave_modelo,modelo,estrategia_pesos,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives,clave_configuracion
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,17,7,0.23881350457668304,0.49797165393829346,0.891917884349823,0.380382776260376,0.5473321676254272,0.40509554743766785,0.8968023061752319,518.0,263.0,
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,30,20,0.2700907289981842,0.27608978748321533,0.7978166937828064,0.38543516397476196,0.3013888895511627,0.3650739789009094,0.8878171443939209,346.0,503.0,
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,17,7,0.09311214089393616,0.15738551318645477,0.8362846970558167,0.0517241396009922,0.40909090638160706,0.06267409026622772,0.9764798879623413,165.0,13.0,
embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,balanceada,256,0.0005,IRSUITRYYR,Intento suicida,21,11,0.05750337243080139,0.11701639741659164,0.818074643611908,0.0357142873108387,0.2142857164144516,0.04285714030265808,0.9878435730934143,81.0,11.0,
multisalida_bce_adam,Red multisalida — BCE + Adam,balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,20,10,0.27290675044059753,0.4650067687034607,0.8790715336799622,0.12799042463302612,0.6564416885375977,0.1525520384311676,0.8962737917900085,729.0,56.0,bce_adam
multisalida_bce_adam,Red multisalida — BCE + Adam,balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,20,10,0.24936361610889435,0.28146928548812866,0.8088847994804382,0.23090586066246033,0.38461539149284363,0.2509652376174927,0.9153012633323669,433.0,208.0,bce_adam
multisalida_bce_adam,Red multisalida — BCE + Adam,balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,20,10,0.1852577030658722,0.15746614336967468,0.8523281812667847,0.3448275923728943,0.16483516991138458,0.2830188572406769,0.944767415523529,114.0,304.0,bce_adam
multisalida_bce_adam,Red multisalida — BCE + Adam,balanceada,256,0.0005,IRSUITRYYR,Intento suicida,20,10,0.24328981339931488,0.1095881313085556,0.8691781163215637,0.3928571343421936,0.10509554296731949,0.25384610891342163,0.956131100654602,51.0,281.0,bce_adam
