clave_modelo,modelo,estrategia_pesos,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives,pr_auc_base,roc_auc_base,recall_base,precision_base,f2_base,false_negatives_base,false_positives_base,delta_pr_auc,delta_roc_auc,delta_recall,delta_precision,delta_f2,delta_false_negatives,delta_false_positives
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,12,2,0.28236153721809387,0.33044180274009705,0.8417527675628662,0.07535885274410248,0.44366195797920227,0.09036143124103546,0.8874207139015198,773.0,79.0,0.46478578448295593,0.8730195164680481,0.6543062329292297,0.4112781882286072,0.5851519703865051,289.0,783.0,-0.1343439817428589,-0.031266748905181885,-0.5789473801851273,0.03238376975059509,-0.49479053914546967,484.0,-704.0
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,13,3,0.2836746275424957,0.09058523178100586,0.5485321879386902,0.017761988565325737,0.1315789520740509,0.021477658301591873,0.9182082414627075,553.0,66.0,0.25444722175598145,0.7982822060585022,0.4049733579158783,0.2743682265281677,0.3697696626186371,335.0,603.0,-0.16386198997497559,-0.249750018119812,-0.38721136935055256,-0.14278927445411682,-0.3482920043170452,218.0,-537.0
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,23,13,0.13266977667808533,0.10589506477117538,0.7629629373550415,0.08045977354049683,0.18421052396297455,0.09067356586456299,0.9706659913063049,160.0,62.0,0.10593272745609283,0.759069561958313,0.14942528307437897,0.13756613433361053,0.14689263701438904,148.0,163.0,-3.766268491744995e-05,0.0038933753967285156,-0.06896550953388214,0.046644389629364014,-0.05621907114982605,12.0,-101.0
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,256,0.0005,IRSUITRYYR,Intento suicida,19,9,0.09522494673728943,0.038055114448070526,0.7005794644355774,0.0833333358168602,0.10769230872392654,0.08728177100419998,0.9821617603302002,77.0,58.0,0.07073917239904404,0.7754988670349121,0.130952388048172,0.10476190596818924,0.12471653521060944,73.0,94.0,-0.03268405795097351,-0.07491940259933472,-0.0476190522313118,0.0029304027557373047,-0.037434764206409454,4.0,-36.0
