clave_modelo,candidato,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total,tipo_modelo
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),0.2717908300351206,0.8625100747748112,0.2998740720016102,0.09770114942528736,0.29364084146251623,0.29007016031768695,0.6277610760446128,0.9556480800876156,927,1229,Ensemble
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),0.2579850301991247,0.860047178659264,0.7175451979280316,0.6666666666666666,0.18119727008530154,0.4191288876652546,0.7777550307233821,0.8379648635187328,414,4594,Ensemble
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),0.2726602259020657,0.8643796412153704,0.5551465394123907,0.42857142857142855,0.22663027626938193,0.4179918973296434,0.7305710462100308,0.9059955530076709,608,2648,Ensemble
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),0.2707538044613319,0.8644581858932983,0.6749972522719796,0.6071428571428571,0.19555338848791973,0.4263740168606327,0.768531218855998,0.8620651854400163,459,3904,Ensemble
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),0.26486584930482426,0.8646469574318545,0.8715021371714111,0.8117229129662522,0.1526000259803678,0.38518851781577124,0.7997260172074832,0.7279498972435552,242,7807,Ensemble
ensemble_focal_70,Ensemble — ramas 32 + sin BatchNormalization (70/30),0.2634258428537462,0.863484560770144,0.8660793288127975,0.8028419182948491,0.1485572291376398,0.3841079948437811,0.7970749497171925,0.7280705706215875,236,7788,Ensemble
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,0.2581166910626884,0.8596258709256493,0.8597806559821772,0.7957371225577264,0.14221133242753078,0.3810068455068708,0.7919723795439786,0.7241641031057799,222,7875,Arquitectura individual
