clave_modelo,modelo,clave_configuracion,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives
multisalida_focal_actual,Focal + Adam — Arquitectura actual,focal_actual,256,0.0005,IRAMDEYR,Episodio depresivo mayor,29,19,0.4785807132720947,0.49319586157798767,0.8915574550628662,0.8492823243141174,0.338256299495697,0.6522139310836792,0.7998149991035461,126.0,1389.0
multisalida_focal_actual,Focal + Adam — Arquitectura actual,focal_actual,256,0.0005,IRSUICTHNK,Ideación suicida,29,19,0.5471236109733582,0.2930675148963928,0.8201987147331238,0.721136748790741,0.2008906453847885,0.47507598996162415,0.7658562660217285,157.0,1615.0
multisalida_focal_actual,Focal + Adam — Arquitectura actual,focal_actual,256,0.0005,IRSUIPLANYR,Planificación suicida,29,19,0.5375348925590515,0.1504260152578354,0.8605257272720337,0.8620689511299133,0.07378258556127548,0.27482590079307556,0.7480179667472839,24.0,1883.0
multisalida_focal_actual,Focal + Adam — Arquitectura actual,focal_actual,256,0.0005,IRSUITRYYR,Intento suicida,29,19,0.5501934885978699,0.09040940552949905,0.8713246583938599,0.8452380895614624,0.03898956626653671,0.16458041965961456,0.7670454382896423,13.0,1750.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRAMDEYR,Episodio depresivo mayor,18,8,0.536865234375,0.49590209126472473,0.8900545835494995,0.8911483287811279,0.31028738617897034,0.6483899354934692,0.7691596150398254,91.0,1656.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRSUICTHNK,Ideación suicida,18,8,0.5562391877174377,0.2861383855342865,0.8131124377250671,0.7317939400672913,0.19171707332134247,0.4680754244327545,0.7505285143852234,151.0,1737.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRSUIPLANYR,Planificación suicida,18,8,0.5246673822402954,0.1558137685060501,0.8510321974754333,0.8160919547080994,0.07001972198486328,0.2606460750102997,0.746564507484436,32.0,1886.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRSUITRYYR,Intento suicida,18,8,0.5520174503326416,0.06956315040588379,0.8529775738716125,0.761904776096344,0.039384614676237106,0.16318202018737793,0.7910940647125244,20.0,1561.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRAMDEYR,Episodio depresivo mayor,21,11,0.5350092053413391,0.4881429970264435,0.8859500885009766,0.8839712738990784,0.3047422766685486,0.6404923796653748,0.7644027471542358,97.0,1686.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRSUICTHNK,Ideación suicida,21,11,0.6012992262840271,0.2862586975097656,0.8102425336837769,0.7531083226203918,0.17837610840797424,0.45798224210739136,0.7235729098320007,139.0,1953.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRSUIPLANYR,Planificación suicida,21,11,0.5817503333091736,0.13192208111286163,0.8475989699363708,0.8103448152542114,0.06915154308080673,0.2577696144580841,0.7448467016220093,33.0,1898.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRSUITRYYR,Intento suicida,21,11,0.5993764996528625,0.08157482743263245,0.8532336950302124,0.8333333134651184,0.035246726125478745,0.1507321000099182,0.7449788451194763,14.0,1916.0
