clave_modelo,candidato,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total,variables_originales,variables_entrada,vocabulario,parametros_modelos
umbral_085,"Percentil 0,85 — 109 variables",0.2652212342831796,0.8613017718607567,0.8730175670876495,0.8010657193605684,0.13995663474359366,0.3646940697147796,0.7773009641228705,0.6815843611580914,215,9156,109,118,600,37240
umbral_075,"Percentil 0,75 — 195 variables",0.2665677401950746,0.8640582521665052,0.8719844609491401,0.7957371225577264,0.1434363600141459,0.3805139352247093,0.7947279425577468,0.7174714241663537,217,8084,195,216,1144,46712
sens_amplio,Amplio — 813 variables,0.26486584930482426,0.8646469574318545,0.8716854178869391,0.7957371225577264,0.14710164495258135,0.3914558132480022,0.8026978514774065,0.7337102850678738,218,7603,813,872,4617,104712
