target,descripcion,negativos,positivos,peso_clase_0,peso_clase_1,ratio_negativos_positivos
IRAMDEYR,Episodio depresivo mayor,26908,3363,0.5624907090828006,4.50059470710675,8.0011894142135
IRSUICTHNK,Ideación suicida,28016,2255,0.5402448600799543,6.711973392461197,12.423946784922395
IRSUIPLANYR,Planificación suicida,29502,769,0.513033014710867,19.682054616384914,38.36410923276983
IRSUITRYYR,Intento suicida,29935,336,0.5056121596793052,45.04613095238095,89.0922619047619
