clave_modelo,candidato,target,descripcion,umbral_referencia,recall_referencia,precision_referencia,f2_referencia,balanced_accuracy_referencia,specificity_referencia,false_negatives_referencia,false_positives_referencia,criterio,umbral_propuesto,recall_propuesto,precision_propuesto,f2_propuesto,balanced_accuracy_propuesto,specificity_propuesto,false_negatives_propuesto,false_positives_propuesto,delta_umbral,delta_recall,delta_precision,delta_f2,delta_balanced_accuracy,delta_specificity,delta_false_negatives,delta_false_positives
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRAMDEYR,Episodio depresivo mayor,0.5,0.7667464114832536,0.3384371700105597,0.6118747613592975,0.7903102229727617,0.8138740344622698,195,1253,Balanced Accuracy máxima,0.424,0.8145933014354066,0.30996813837050524,0.6145100162425555,0.7947000969446789,0.7748068924539513,155,1516,-0.07600000000000001,0.04784688995215303,-0.028469031640054432,0.002635254883257998,0.0043898739719172575,-0.03906714200831851,-40,263
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUICTHNK,Ideación suicida,0.5,0.6305506216696269,0.23022049286640725,0.4678439641539272,0.730550114546448,0.8305496074232691,208,1187,Balanced Accuracy máxima,0.385,0.738898756660746,0.19466541881141788,0.4739120528594213,0.7466085503503588,0.7543183440399714,147,1721,-0.11499999999999999,0.10834813499111906,-0.035555074054989366,0.006068088705494079,0.016058435803910753,-0.07623126338329766,-61,534
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUIPLANYR,Planificación suicida,0.5,0.6551724137931034,0.1016949152542373,0.3137039075399009,0.7594904535830542,0.8638084933730051,60,1007,Balanced Accuracy máxima,0.212,0.8735632183908046,0.06427061310782241,0.24828487422410975,0.7871332456573985,0.7007032729239925,22,2213,-0.28800000000000003,0.21839080459770122,-0.03742430214641489,-0.06541903331579116,0.02764279207434428,-0.16310522044901266,-38,1206
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUITRYYR,Intento suicida,0.5,0.5952380952380952,0.08038585209003216,0.2609603340292275,0.7594041892545367,0.9235702832709781,34,572,Balanced Accuracy máxima,0.29,0.7857142857142857,0.06060606060606061,0.23157894736842105,0.8245113384744598,0.8633083912346339,18,1023,-0.21000000000000002,0.19047619047619047,-0.01977979148397155,-0.029381386660806474,0.06510714921992311,-0.060261892036344245,-16,451
multisalida_focal_adam,Red multisalida — Focal + Adam,IRAMDEYR,Episodio depresivo mayor,0.5,0.8492822966507177,0.33825631252977606,0.6522138526547859,0.8214771554554836,0.7936720142602496,126,1389,"Umbral 0,5",0.5,0.8492822966507177,0.33825631252977606,0.6522138526547859,0.8214771554554836,0.7936720142602496,126,1389,0.0,0.0,0.0,0.0,0.0,0.0,0,0
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUICTHNK,Ideación suicida,0.5,0.7211367673179396,0.20089064819396338,0.4750760589749591,0.7452935799473352,0.7694503925767309,157,1615,Balanced Accuracy máxima,0.477,0.7779751332149201,0.19010416666666666,0.480684811237928,0.7557969884490018,0.7336188436830835,125,1866,-0.02300000000000002,0.056838365896980436,-0.01078648152729672,0.005608752262968919,0.010503408501666534,-0.03583154889364737,-32,251
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUIPLANYR,Planificación suicida,0.5,0.8620689655172413,0.07378258730939498,0.2748259435690729,0.8037015100780689,0.7453340546388963,24,1883,Balanced Accuracy máxima,0.49,0.896551724137931,0.07225567392311255,0.2732049036777583,0.8128282018038857,0.7291046794698404,18,2003,-0.010000000000000009,0.034482758620689724,-0.0015269133862824275,-0.001621039891314624,0.009126691725816816,-0.016229375169055982,-6,120
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUITRYYR,Intento suicida,0.5,0.8452380952380952,0.03898956617243273,0.1645804357904497,0.8057029599653864,0.7661678246926777,13,1750,Balanced Accuracy máxima,0.506,0.8452380952380952,0.040226628895184136,0.16896715849595428,0.8094442747703037,0.773650454302512,13,1694,0.006000000000000005,0.0,0.0012370627227514044,0.004386722705504581,0.0037413148049172396,0.007482629609834257,0,-56
