clave_configuracion,modelo,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
focal_actual,Focal + Adam — Arquitectura actual,IRAMDEYR,Episodio depresivo mayor,0.5,0.4938410944906633,0.8916041750178396,0.8492822966507177,0.33825631252977606,0.4838160136286201,0.6522138526547859,0.8214771554554836,0.7936720142602496,0.7998150105708245,5343,1389,126,710
focal_actual,Focal + Adam — Arquitectura actual,IRSUICTHNK,Ideación suicida,0.5,0.2939410711232845,0.8203219471501579,0.7211367673179396,0.20089064819396338,0.3142414860681115,0.475076058974959,0.7452935799473352,0.7694503925767309,0.7658562367864693,5390,1615,157,406
focal_actual,Focal + Adam — Arquitectura actual,IRSUIPLANYR,Planificación suicida,0.5,0.15257162349288464,0.8604953845771192,0.8620689655172413,0.07378258730939498,0.13593112822836428,0.2748259435690729,0.8037015100780689,0.7453340546388963,0.7480179704016914,5511,1883,24,150
focal_actual,Focal + Adam — Arquitectura actual,IRSUITRYYR,Intento suicida,0.5,0.09528993783931439,0.8713827594105521,0.8452380952380952,0.03898956617243273,0.07454068241469816,0.1645804357904497,0.8057029599653864,0.7661678246926777,0.7670454545454546,5734,1750,13,71
focal_drop_menor,Focal + Adam — Dropout menor,IRAMDEYR,Episodio depresivo mayor,0.5,0.49660584224829374,0.8900539663451288,0.8911483253588517,0.3102873802582257,0.460302749459376,0.6483899042645779,0.8225795102730087,0.7540106951871658,0.7691596194503171,5076,1656,91,745
focal_drop_menor,Focal + Adam — Dropout menor,IRSUICTHNK,Ideación suicida,0.5,0.28763690664744795,0.8132447896262881,0.7317939609236235,0.19171707771056307,0.30383480825958703,0.46807543740059077,0.7419141110827967,0.75203426124197,0.7505285412262156,5268,1737,151,412
focal_drop_menor,Focal + Adam — Dropout menor,IRSUIPLANYR,Planificación suicida,0.5,0.15934724743888298,0.8512074095492151,0.8160919540229885,0.07001972386587771,0.12897366030881016,0.26064610866372984,0.7805101371413292,0.74492832025967,0.7465644820295984,5508,1886,32,142
focal_drop_menor,Focal + Adam — Dropout menor,IRSUITRYYR,Intento suicida,0.5,0.07486330159549778,0.8530420452520933,0.7619047619047619,0.039384615384615386,0.07489760093622001,0.1631820499745028,0.7766632307653152,0.7914216996258685,0.7910940803382663,5923,1561,20,64
focal_drop_mayor,Focal + Adam — Dropout mayor,IRAMDEYR,Episodio depresivo mayor,0.5,0.4886125347186947,0.8859753068256446,0.8839712918660287,0.3047422680412371,0.4532352039251763,0.6404922863581209,0.8167628295337274,0.749554367201426,0.7644027484143763,5046,1686,97,739
focal_drop_mayor,Focal + Adam — Dropout mayor,IRSUICTHNK,Ideación suicida,0.5,0.2868275669735416,0.8101647769989211,0.7531083481349912,0.1783761043331931,0.28843537414965986,0.45798228559084037,0.737153745801971,0.7211991434689508,0.7235729386892178,5052,1953,139,424
