clave_modelo,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total,variables_originales,variables_entrada,vocabulario,parametros_modelos
sens_reducido,0.2546759682283501,0.8441985028733501,0.7968082088144351,0.7193605683836589,0.1473915728140942,0.38744434918226694,0.7794135796522738,0.7620189504901123,277,6760,59,67,350,33176
umbral_085,0.2652212342831796,0.8613017718607567,0.8331708027439267,0.7442273534635879,0.14300745067552093,0.3831689467974797,0.7862338853916477,0.7392969680393688,245,7423,109,118,600,37240
umbral_080,0.26432204532028336,0.8595289098552894,0.7961749588535055,0.7158081705150977,0.1489983146089557,0.3926671227933479,0.7820489499826327,0.7679229411117598,273,6579,162,180,926,43032
umbral_075,0.2665677401950746,0.8640582521665052,0.8111097616101033,0.7371225577264654,0.15226029545000838,0.39725332598772845,0.7891850100118227,0.7672602584135422,262,6612,195,216,1144,46712
sens_amplio,0.26486584930482426,0.8646469574318545,0.8716854178869391,0.7957371225577264,0.14710164495258135,0.3914558132480022,0.8026978514774065,0.7337102850678738,218,7603,813,872,4617,104712
