clave_modelo,candidato,average_precision_media,roc_auc_media,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total,rol
multisalida_focal_adam,Red multisalida — Focal + Adam,0.25891093173653673,0.8609510665389172,0.8194315311809985,0.7211367673179396,0.16297977855139179,0.3916740727473169,0.7940438013615685,0.7686560715421387,320,6637,Principal
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,0.23827789886658002,0.8489999423053786,0.6619268855460199,0.5952380952380952,0.18768460755530908,0.41359574177058833,0.7599387450892001,0.8579506046323806,497,4019,Alternativo
