clave_modelo,candidato,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRAMDEYR,Episodio depresivo mayor,0.5,0.5026468065673436,0.8942055653637415,0.527511961722488,0.47830802603036876,0.5017064846416383,0.5168776371308017,0.7280310848422303,0.9285502079619726,0.8842494714587738,6251,481,395,441
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRSUICTHNK,Ideación suicida,0.5,0.2888314390622045,0.815466242711689,0.46714031971580816,0.2893289328932893,0.35733695652173914,0.4160075925340082,0.6874602383732502,0.9077801570306924,0.875,6359,646,300,263
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRSUIPLANYR,Planificación suicida,0.5,0.1751171587987967,0.8595545005425336,0.09770114942528736,0.20238095238095238,0.13178294573643412,0.10897435897435898,0.5443198741446156,0.9909385988639438,0.9704016913319239,7327,67,157,17
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRSUITRYYR,Intento suicida,0.5,0.12056791571213776,0.8808139904812808,0.10714285714285714,0.20454545454545456,0.140625,0.11842105263157894,0.5512331068183554,0.9953233564938535,0.9854651162790697,7449,35,75,9
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRAMDEYR,Episodio depresivo mayor,0.5,0.4600100230393602,0.8807056279086958,0.8110047846889952,0.34002006018054165,0.4791519434628975,0.6350693143499438,0.8077602651906057,0.8045157456922163,0.8052325581395349,5416,1316,158,678
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRSUICTHNK,Ideación suicida,0.5,0.2880102854038651,0.8136872545999241,0.6856127886323268,0.2167321729365525,0.3293515358361775,0.4785519464418547,0.7432346598407886,0.8008565310492506,0.7922832980972516,5610,1395,177,386
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRSUIPLANYR,Planificación suicida,0.5,0.17428710829137958,0.8601747611452591,0.7068965517241379,0.09483423284502698,0.1672331747110809,0.3085800301053688,0.7740595823267701,0.8412226129294023,0.8381342494714588,6220,1174,51,123
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRSUITRYYR,Intento suicida,0.5,0.10963270406189407,0.8856210709831768,0.6666666666666666,0.07320261437908497,0.13191990577149587,0.254314259763851,0.7859656155353643,0.905264564404062,0.9026162790697675,6775,709,28,56
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRAMDEYR,Episodio depresivo mayor,0.5,0.4997607400578688,0.8914255132239934,0.7356459330143541,0.40945406125166445,0.5260906757912746,0.6345439537763103,0.8019435844513244,0.8682412358882947,0.8535940803382663,5845,887,221,615
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRSUICTHNK,Ideación suicida,0.5,0.29470428910998697,0.8179331434157029,0.5506216696269982,0.26028547439126787,0.35347776510832385,0.4501887888469358,0.7124271802810223,0.8742326909350464,0.8501585623678647,6124,881,253,310
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRSUIPLANYR,Planificación suicida,0.5,0.17825358840636446,0.8614269413845957,0.5057471264367817,0.13622291021671826,0.2146341463414634,0.32786885245901637,0.7151402659503356,0.9245334054638896,0.9149048625792812,6836,558,86,88
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRSUITRYYR,Intento suicida,0.5,0.11792228603404244,0.8867329668371892,0.42857142857142855,0.1005586592178771,0.16289592760180996,0.25936599423631124,0.6927731541574407,0.9569748797434527,0.9511099365750528,7162,322,48,36
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRAMDEYR,Episodio depresivo mayor,0.5,0.4981918437547445,0.8928640471702673,0.8026315789473685,0.3603651987110634,0.49740548554484804,0.6444487130234345,0.8128576789567502,0.8230837789661319,0.8208245243128964,5541,1191,165,671
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRSUICTHNK,Ideación suicida,0.5,0.29637777317698333,0.8180325395587774,0.6465364120781527,0.23605706874189364,0.3458432304038005,0.4797047970479705,0.7391854080376488,0.8318344039971449,0.8180496828752643,5827,1178,199,364
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRSUIPLANYR,Planificación suicida,0.5,0.17482800921622924,0.8616539039109063,0.6436781609195402,0.1049671977507029,0.18049959709911362,0.31764038570618264,0.7572596917662349,0.8708412226129294,0.8656183932346723,6439,955,62,112
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRSUITRYYR,Intento suicida,0.5,0.11361759169737055,0.8852822529332417,0.6071428571428571,0.08082408874801902,0.14265734265734265,0.26370217166494314,0.764822096663358,0.9225013361838589,0.9190010570824524,6904,580,33,51
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRAMDEYR,Episodio depresivo mayor,0.5,0.4953563743503204,0.8934287286032291,0.8672248803827751,0.33226397800183316,0.4804506295559973,0.6559898660875859,0.8253979422710073,0.7835710041592394,0.7928118393234672,5275,1457,111,725
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUICTHNK,Ideación suicida,0.5,0.2927958911366425,0.8192042476637468,0.8117229129662522,0.17469418960244648,0.2875117961623152,0.469391947411668,0.7517572452054673,0.6917915774446823,0.7007135306553911,4846,2159,106,457
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUIPLANYR,Planificación suicida,0.5,0.1664138203348798,0.8638698976181372,0.9022988505747126,0.06678009357720119,0.12435643564356436,0.2576304561864129,0.8027858872835694,0.7032729239924262,0.7078488372093024,5200,2194,17,157
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUITRYYR,Intento suicida,0.5,0.1048973113974543,0.8820849558423048,0.9047619047619048,0.036661842739990354,0.07046824292999536,0.15774180157741802,0.8189629940698888,0.7331640833778728,0.735068710359408,5487,1997,8,76
