clave_modelo,candidato,target,descripcion,criterio,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives,average_precision,roc_auc
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRAMDEYR,Episodio depresivo mayor,"Umbral 0,5",0.5,0.7667464114832536,0.3384371700105597,0.4695970695970696,0.6118747613592975,0.7903102229727617,0.8086680761099366,0.8138740344622698,0.5806204459455233,5479,1253,195,641,0.41618392481214184,0.8601671620511333
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRAMDEYR,Episodio depresivo mayor,F2 máximo,0.467,0.7930622009569378,0.3246816846229187,0.46073662265462123,0.6154845896769403,0.7941098289395503,0.7949260042283298,0.7951574569221628,0.5882196578791006,5353,1379,173,663,0.41618392481214184,0.8601671620511333
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRAMDEYR,Episodio depresivo mayor,Balanced Accuracy máxima,0.424,0.8145933014354066,0.30996813837050524,0.4490603363006924,0.6145100162425555,0.7947000969446789,0.7792019027484144,0.7748068924539513,0.5894001938893578,5216,1516,155,681,0.41618392481214184,0.8601671620511333
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUICTHNK,Ideación suicida,"Umbral 0,5",0.5,0.6305506216696269,0.23022049286640725,0.33729216152019,0.4678439641539272,0.730550114546448,0.8156712473572939,0.8305496074232691,0.46110022909289605,5818,1187,208,355,0.27371100838182544,0.8079026272784094
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUICTHNK,Ideación suicida,F2 máximo,0.387,0.7371225577264654,0.19538606403013184,0.3088946780796427,0.4741773308957953,0.746576981932469,0.7546247357293869,0.7560314061384725,0.49315396386493804,5296,1709,148,415,0.27371100838182544,0.8079026272784094
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUICTHNK,Ideación suicida,Balanced Accuracy máxima,0.385,0.738898756660746,0.19466541881141788,0.30814814814814817,0.4739120528594213,0.7466085503503588,0.7531712473572939,0.7543183440399714,0.49321710070071756,5284,1721,147,416,0.27371100838182544,0.8079026272784094
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUIPLANYR,Planificación suicida,"Umbral 0,5",0.5,0.6551724137931034,0.1016949152542373,0.1760617760617761,0.3137039075399009,0.7594904535830542,0.8590116279069767,0.8638084933730051,0.5189809071661085,6387,1007,60,114,0.15344596328122237,0.8536076159918418
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUIPLANYR,Planificación suicida,F2 máximo,0.645,0.5459770114942529,0.13121546961325967,0.21158129175946547,0.3345070422535211,0.7304540183248922,0.9064482029598309,0.9149310251555315,0.4609080366497844,6765,629,79,95,0.15344596328122237,0.8536076159918418
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUIPLANYR,Planificación suicida,Balanced Accuracy máxima,0.212,0.8735632183908046,0.06427061310782241,0.11973217802284362,0.24828487422410975,0.7871332456573985,0.7046775898520085,0.7007032729239925,0.574266491314797,5181,2213,22,152,0.15344596328122237,0.8536076159918418
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUITRYYR,Intento suicida,"Umbral 0,5",0.5,0.5952380952380952,0.08038585209003216,0.141643059490085,0.2609603340292275,0.7594041892545367,0.9199260042283298,0.9235702832709781,0.5188083785090734,6912,572,34,50,0.1097706989911304,0.8743223639001299
