estrategia_pesos,target,descripcion,epocas,mejor_epoca,loss_train_mejor,loss_validacion_mejor,pr_auc_train_mejor,pr_auc_validacion_mejor,gap_pr_auc_mejor,gap_pr_auc_final,gap_loss_mejor,gap_loss_final
focal_actual,IRAMDEYR,Episodio depresivo mayor,29,19,0.0484828576445579,0.0509055070579052,0.4945129454135895,0.4931958615779876,0.0013170838356018622,0.039302140474319514,0.0024226494133472998,0.007773689925670603
focal_actual,IRSUICTHNK,Ideación suicida,29,19,0.0484828576445579,0.0509055070579052,0.3029183745384216,0.2930675148963928,0.009850859642028753,0.0432165265083313,0.0024226494133472998,0.007773689925670603
focal_actual,IRSUIPLANYR,Planificación suicida,29,19,0.0484828576445579,0.0509055070579052,0.1682687401771545,0.1504260152578354,0.017842724919319125,0.047506719827652005,0.0024226494133472998,0.007773689925670603
focal_actual,IRSUITRYYR,Intento suicida,29,19,0.0484828576445579,0.0509055070579052,0.1169577240943908,0.090409405529499,0.0265483185648918,0.03627955168485639,0.0024226494133472998,0.007773689925670603
focal_drop_menor,IRAMDEYR,Episodio depresivo mayor,18,8,0.0527613088488578,0.0520125478506088,0.4544678926467895,0.4959020912647247,-0.04143419861793518,0.0026383697986602783,-0.0007487609982490054,0.005189713090658202
focal_drop_menor,IRSUICTHNK,Ideación suicida,18,8,0.0527613088488578,0.0520125478506088,0.2941421270370483,0.2861383855342865,0.008003741502761785,0.02375844120979309,-0.0007487609982490054,0.005189713090658202
focal_drop_menor,IRSUIPLANYR,Planificación suicida,18,8,0.0527613088488578,0.0520125478506088,0.127808466553688,0.1558137685060501,-0.028005301952362116,0.006507396697997991,-0.0007487609982490054,0.005189713090658202
focal_drop_menor,IRSUITRYYR,Intento suicida,18,8,0.0527613088488578,0.0520125478506088,0.0583338774740695,0.0695631504058837,-0.011229272931814208,0.028041511774063096,-0.0007487609982490054,0.005189713090658202
focal_drop_mayor,IRAMDEYR,Episodio depresivo mayor,21,11,0.0536090359091758,0.0524379983544349,0.441569447517395,0.4881429970264435,-0.04657354950904846,-0.0038748979568482,-0.0011710375547409058,0.0035541430115699005
focal_drop_mayor,IRSUICTHNK,Ideación suicida,21,11,0.0536090359091758,0.0524379983544349,0.2753180861473083,0.2862586975097656,-0.010940611362457331,0.019759923219680786,-0.0011710375547409058,0.0035541430115699005
focal_drop_mayor,IRSUIPLANYR,Planificación suicida,21,11,0.0536090359091758,0.0524379983544349,0.1191390827298164,0.1319220811128616,-0.01278299838304521,0.015245258808136014,-0.0011710375547409058,0.0035541430115699005
focal_drop_mayor,IRSUITRYYR,Intento suicida,21,11,0.0536090359091758,0.0524379983544349,0.0532621033489704,0.0815748274326324,-0.028312724083662005,-0.018730714917183006,-0.0011710375547409058,0.0035541430115699005
focal_capas_compartidas,IRAMDEYR,Episodio depresivo mayor,16,6,0.0564648807048797,0.0530531145632267,0.4245790541172027,0.4908126890659332,-0.06623363494873052,0.01528128981590271,-0.0034117661416529985,0.0818394310772419
focal_capas_compartidas,IRSUICTHNK,Ideación suicida,16,6,0.0564648807048797,0.0530531145632267,0.2583663761615753,0.2818909287452698,-0.023524552583694458,0.023775309324264526,-0.0034117661416529985,0.0818394310772419
focal_capas_compartidas,IRSUIPLANYR,Planificación suicida,16,6,0.0564648807048797,0.0530531145632267,0.1085418239235878,0.1375685930252075,-0.029026769101619693,0.009035065770149203,-0.0034117661416529985,0.0818394310772419
focal_capas_compartidas,IRSUITRYYR,Intento suicida,16,6,0.0564648807048797,0.0530531145632267,0.0589244067668914,0.1010068282485008,-0.04208242148160939,-0.004952184855937999,-0.0034117661416529985,0.0818394310772419
focal_ramas_32,IRAMDEYR,Episodio depresivo mayor,23,13,0.052257552742958,0.0521562732756137,0.4585154950618744,0.477666288614273,-0.019150793552398626,0.003981441259384211,-0.00010127946734429794,0.006970889866352095
focal_ramas_32,IRSUICTHNK,Ideación suicida,23,13,0.052257552742958,0.0521562732756137,0.2833131551742553,0.2865272760391235,-0.003214120864868164,0.02851033210754389,-0.00010127946734429794,0.006970889866352095
focal_ramas_32,IRSUIPLANYR,Planificación suicida,23,13,0.052257552742958,0.0521562732756137,0.1352821290493011,0.1671324074268341,-0.031850278377533014,0.021935880184173584,-0.00010127946734429794,0.006970889866352095
focal_ramas_32,IRSUITRYYR,Intento suicida,23,13,0.052257552742958,0.0521562732756137,0.0695842057466507,0.0910703837871551,-0.0214861780405044,0.006518855690956199,-0.00010127946734429794,0.006970889866352095
focal_sin_bn_ramas,IRAMDEYR,Episodio depresivo mayor,24,14,0.0488278418779373,0.0520331859588623,0.4995664656162262,0.4970130324363708,0.002553433179855402,0.030461221933364868,0.0032053440809249947,0.010631129145622302
focal_sin_bn_ramas,IRSUICTHNK,Ideación suicida,24,14,0.0488278418779373,0.0520331859588623,0.31514772772789,0.291799396276474,0.023348331451416016,0.0493834912776947,0.0032053440809249947,0.010631129145622302
focal_sin_bn_ramas,IRSUIPLANYR,Planificación suicida,24,14,0.0488278418779373,0.0520331859588623,0.166582316160202,0.1563252955675125,0.010257020592689486,0.03847898542881012,0.0032053440809249947,0.010631129145622302
focal_sin_bn_ramas,IRSUITRYYR,Intento suicida,24,14,0.0488278418779373,0.0520331859588623,0.1004989445209503,0.1074908748269081,-0.006991930305957794,0.012014523148536599,0.0032053440809249947,0.010631129145622302
