elemento,valor
Registros de TRAIN,37839.0
Variables numéricas,59.0
Variables categóricas y de estado,813.0
Vocabulario durante desarrollo,4617.0
Vocabulario definitivo,4625.0
Tiempo de preprocesamiento,52.38970440899993
