clave_configuracion,arquitectura,recall_medio,recall_minimo,precision_media,f2_medio,balanced_accuracy_media,especificidad_media,falsos_negativos_total,falsos_positivos_total,average_precision_media,roc_auc_media
focal_actual,Arquitectura anterior,0.842261812310416,0.7779751332149201,0.16021069550368486,0.3937676815166066,0.7998866551196687,0.7575114979289214,282,6952,0.25891093173653673,0.8609510665389172
focal_ramas_32,Ramas específicas de 32 neuronas,0.8627568464583677,0.7957371225577264,0.14215278800599346,0.3808924586668635,0.7928925966420417,0.7230283468257158,221,7909,0.2581166910626884,0.8596258709256493
