target,estrategia_pesos,accuracy,f2,false_negatives,false_positives,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_f2,val_false_negatives,val_false_positives,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,epoca
IRSUIPLANYR,balanceada,0.7432856559753418,0.117719329893589,520.0,7251.0,0.8075739145278931,0.0375230275094509,0.0331999994814395,0.3237971365451813,0.5324320197105408,0.9071089029312134,0.1241272017359733,142.0,561.0,0.6837385296821594,0.0418245457112789,0.0539629012346267,0.1839080452919006,0.5534465909004211,1
IRSUIPLANYR,balanceada,0.7413696050643921,0.1353116631507873,479.0,7350.0,0.7119181156158447,0.0430862195789814,0.0379581153392791,0.3771131336688995,0.5756012201309204,0.9180760979652404,0.136589378118515,141.0,479.0,0.6117511987686157,0.041042722761631,0.064453125,0.1896551698446273,0.5461795330047607,2
IRSUIPLANYR,balanceada,0.7587129473686218,0.1436696946620941,476.0,6828.0,0.7137334942817688,0.0445860549807548,0.0411459058523178,0.3810143172740936,0.593762993812561,0.8788319230079651,0.159401386976242,125.0,792.0,0.6663571000099182,0.0475070998072624,0.0582639724016189,0.2816092073917389,0.5845062732696533,3
IRSUIPLANYR,balanceada,0.7691519856452942,0.1544362306594848,463.0,6525.0,0.7062945365905762,0.0472633205354213,0.0447957850992679,0.3979193866252899,0.593394935131073,0.8557082414627075,0.1567943692207336,120.0,972.0,0.6030939817428589,0.0503274947404861,0.0526315793395042,0.3103448152542114,0.6260298490524292,4
IRSUIPLANYR,balanceada,0.7515113353729248,0.1501386165618896,455.0,7067.0,0.6950365304946899,0.0474073477089405,0.0425416603684425,0.4083224833011627,0.6043222546577454,0.8298097252845764,0.1554403901100158,114.0,1174.0,0.6201133728027344,0.0530148744583129,0.048622366040945,0.3448275923728943,0.659452497959137,5
IRSUIPLANYR,balanceada,0.7675333023071289,0.1555599719285965,459.0,6578.0,0.6913024187088013,0.0454616285860538,0.0450058057904243,0.4031209349632263,0.6087009906768799,0.8115750551223755,0.172084093093872,102.0,1324.0,0.6431218385696411,0.0528623014688491,0.0515759326517581,0.4137931168079376,0.653192400932312,6
IRSUIPLANYR,balanceada,0.7625780701637268,0.1597317904233932,445.0,6742.0,0.6870954632759094,0.0500563494861125,0.0458533838391304,0.4213263988494873,0.621230959892273,0.8101215362548828,0.1711839735507965,102.0,1335.0,0.6536766290664673,0.0520151890814304,0.0511727072298526,0.4137931168079376,0.6474599242210388,7
IRSUIPLANYR,balanceada,0.7535595297813416,0.1609349250793457,433.0,7027.0,0.6810463070869446,0.0517080426216125,0.0456335730850696,0.4369310736656189,0.625564455986023,0.836416482925415,0.1620616018772125,113.0,1125.0,0.617519199848175,0.0527619272470474,0.0514333881437778,0.3505747020244598,0.6268898844718933,8
IRSUIPLANYR,balanceada,0.7525684833526611,0.1591321676969528,436.0,7054.0,0.681892454624176,0.0498588383197784,0.045079194009304,0.4330299198627472,0.6176600456237793,0.8349630236625671,0.1561672687530517,115.0,1134.0,0.5919697880744934,0.0537303537130355,0.0494551546871662,0.3390804529190063,0.6584012508392334,9
IRSUIPLANYR,balanceada,0.7658154964447021,0.1608245074748993,446.0,6643.0,0.6822290420532227,0.0487850345671176,0.0463680736720562,0.4200260043144226,0.6143419146537781,0.80708247423172,0.1627358049154281,105.0,1355.0,0.647215723991394,0.0544223673641681,0.0484550558030605,0.3965517282485962,0.6591818928718567,10
IRSUIPLANYR,balanceada,0.7749000787734985,0.1672634184360504,442.0,6372.0,0.6860542893409729,0.0507691763341426,0.0488132573664188,0.4252275824546814,0.6128194332122803,0.8057610988616943,0.157572865486145,107.0,1363.0,0.6569185256958008,0.0520071908831596,0.0468531474471092,0.3850574791431427,0.6499840617179871,11
IRSUIPLANYR,balanceada,0.771464467048645,0.1631370484828949,447.0,6471.0,0.6767655611038208,0.0494674406945705,0.047401737421751,0.4187256097793579,0.6229737997055054,0.8082716464996338,0.1634296178817749,105.0,1346.0,0.6358979940414429,0.0511311292648315,0.0487632490694522,0.3965517282485962,0.6536909341812134,12
IRSUIPLANYR,balanceada,0.7705724835395813,0.1678765565156936,436.0,6509.0,0.6728048920631409,0.0514113642275333,0.0486699789762496,0.4330299198627472,0.6301702857017517,0.8065539002418518,0.1646283566951751,104.0,1360.0,0.6013429164886475,0.0538251027464866,0.0489510484039783,0.4022988379001617,0.6558252573013306,13
IRSUIPLANYR,balanceada,0.7568299770355225,0.1611186265945434,436.0,6925.0,0.6745390892028809,0.0533068738877773,0.0458804070949554,0.4330299198627472,0.6311407089233398,0.8151426911354065,0.1765844076871872,101.0,1298.0,0.6568840742111206,0.0518412515521049,0.0532458052039146,0.4195402264595032,0.650205671787262,14
IRSUIPLANYR,balanceada,0.7569290995597839,0.1724303662776947,411.0,6947.0,0.6714855432510376,0.0529574751853942,0.0490075275301933,0.4655396640300751,0.637485682964325,0.8300740122795105,0.1701030433177948,108.0,1178.0,0.5858711004257202,0.0437114611268043,0.0530546605587005,0.3793103396892547,0.6480308771133423,15
IRSUIPLANYR,balanceada,0.7535264492034912,0.1711805909872055,410.0,7051.0,0.6738705635070801,0.0511808767914772,0.0484480448067188,0.4668400585651397,0.6313405632972717,0.8298097252845764,0.1747173368930816,106.0,1182.0,0.5886741280555725,0.0502984151244163,0.0544000007212162,0.3908045887947082,0.6566205024719238,16
IRSUIPLANYR,balanceada,0.754220187664032,0.1692969501018524,415.0,7025.0,0.6680711507797241,0.0536192804574966,0.0479739792644977,0.4603381156921386,0.6322751045227051,0.7946617603302002,0.1705565154552459,98.0,1456.0,0.6068735718727112,0.0532809197902679,0.0496083535254001,0.4367816150188446,0.6553326845169067,17
IRSUIPLANYR,balanceada,0.7551782131195068,0.172892689704895,408.0,7003.0,0.6636372208595276,0.054950151592493,0.0490222722291946,0.4694408178329468,0.642295241355896,0.8054968118667603,0.1683816313743591,102.0,1370.0,0.598598062992096,0.0530001260340213,0.0499306507408618,0.4137931168079376,0.6573754549026489,18
IRSUIPLANYR,balanceada,0.7499256730079651,0.1663358509540558,417.0,7153.0,0.6616109013557434,0.05720666795969,0.0469020642340183,0.4577373266220093,0.6474388837814331,0.8008720874786377,0.165669560432434,102.0,1405.0,0.5978126525878906,0.053797535598278,0.0487474612891674,0.4137931168079376,0.6725886464118958,19
IRSUIPLANYR,balanceada,0.7496283650398254,0.1714715957641601,405.0,7174.0,0.66684490442276,0.055030345916748,0.04828866943717,0.4733420014381408,0.6377310156822205,0.7855443954467773,0.1674640923738479,97.0,1526.0,0.6099893450737,0.0532486177980899,0.0480349361896514,0.4425287246704101,0.6540542244911194,20
IRSUIPLANYR,balanceada,0.756862998008728,0.1768720299005508,401.0,6959.0,0.6587430834770203,0.0562889836728572,0.0502251945436,0.4785435497760772,0.6448105573654175,0.8099894523620605,0.1711026132106781,102.0,1336.0,0.5825740694999695,0.0536325313150882,0.0511363632977008,0.4137931168079376,0.6585096120834351,21
IRSUIPLANYR,balanceada,0.7518747448921204,0.1725772619247436,405.0,7106.0,0.6649141907691956,0.0552298203110694,0.0487282462418079,0.4733420014381408,0.6406473517417908,0.790433406829834,0.1702033132314682,97.0,1489.0,0.6076476573944092,0.0510133504867553,0.0491698607802391,0.4425287246704101,0.6558075547218323,22
IRSUIPLANYR,balanceada,0.7552112340927124,0.1773591935634613,398.0,7012.0,0.659026563167572,0.0580710172653198,0.0502505749464035,0.4824447333812713,0.6479812264442444,0.7973044514656067,0.1678765565156936,100.0,1434.0,0.5850690603256226,0.0520058423280715,0.049071617424488,0.4252873659133911,0.6470527052879333,23
IRSUIPLANYR,balanceada,0.7564005255699158,0.1744018197059631,406.0,6968.0,0.6634487509727478,0.0539956092834472,0.0495157539844512,0.4720416069030761,0.6410645246505737,0.7872621417045593,0.172489047050476,95.0,1515.0,0.6425211429595947,0.0553239956498146,0.0495608523488044,0.4540229737758636,0.6584633588790894,24
IRSUIPLANYR,balanceada,0.7544844746589661,0.1729905009269714,407.0,7025.0,0.6623646020889282,0.0559278391301631,0.0490050092339515,0.4707412123680115,0.6461125016212463,0.7909619212150574,0.1725663393735885,96.0,1486.0,0.5926467180252075,0.0558358691632747,0.0498721227049827,0.4482758641242981,0.6594788432121277,25
IRSUIPLANYR,balanceada,0.7474150061607361,0.1782214641571045,387.0,7259.0,0.6545335650444031,0.0597812309861183,0.0499934554100036,0.4967490136623382,0.6564099788665771,0.8312631845474243,0.1612064242362976,112.0,1165.0,0.5746394991874695,0.052870288491249,0.0505297482013702,0.3563218414783478,0.6353769302368164,26
IRSUIPLANYR,balanceada,0.7453337907791138,0.1814814507961273,377.0,7332.0,0.6530858278274536,0.0593352690339088,0.050750907510519,0.5097529292106628,0.6601636409759521,0.8154069781303406,0.1540341824293136,111.0,1286.0,0.5668671131134033,0.0431148558855056,0.0467012599110603,0.3620689511299133,0.6384261250495911,27
IRSUIPLANYR,balanceada,0.7431865334510803,0.1756893694400787,388.0,7386.0,0.6603327989578247,0.0567902885377407,0.0490536876022815,0.4954486489295959,0.6482566595077515,0.790433406829834,0.174315944314003,95.0,1491.0,0.5985944867134094,0.0566953867673873,0.0503184720873832,0.4540229737758636,0.6533182263374329,28
IRSUIPLANYR,balanceada,0.739057183265686,0.1753826290369033,384.0,7515.0,0.6550728678703308,0.0583002530038356,0.048734176903963,0.50065016746521,0.6538844108581543,0.7897727489471436,0.1759788542985916,94.0,1497.0,0.5882658958435059,0.0562714226543903,0.0507292337715625,0.4597701132297516,0.6487351655960083,29
IRSUIPLANYR,balanceada,0.7455980777740479,0.176880195736885,388.0,7313.0,0.6569792032241821,0.0563365742564201,0.0495191067457199,0.4954486489295959,0.6550801992416382,0.7916226387023926,0.1770694702863693,94.0,1483.0,0.5902156829833984,0.0560764707624912,0.0511836223304271,0.4597701132297516,0.6555498242378235,30
IRSUIPLANYR,balanceada,0.7516764998435974,0.1808309406042099,386.0,7131.0,0.6502378582954407,0.0591627061367034,0.0509715192019939,0.4980494081974029,0.6633102893829346,0.8000792860984802,0.1737539768218994,98.0,1415.0,0.57163405418396,0.0514134615659713,0.0509725026786327,0.4367816150188446,0.6531122326850891,31
IRSUIPLANYR,balanceada,0.7378018498420715,0.1785714030265808,375.0,7562.0,0.65385502576828,0.0583277568221092,0.0495223738253116,0.5123537182807922,0.6573390960693359,0.790565550327301,0.1723375767469406,96.0,1489.0,0.5788373947143555,0.0517855137586593,0.0497766435146331,0.4482758641242981,0.6665935516357422,32
IRSUIPLANYR,balanceada,0.7390902042388916,0.1779375374317169,378.0,7520.0,0.6519641876220703,0.0598490536212921,0.0494248531758785,0.5084525346755981,0.6595097780227661,0.8035147786140442,0.1736914962530136,99.0,1388.0,0.5692772269248962,0.0498347841203212,0.0512645244598388,0.4310344755649566,0.6496946811676025,33
IRSUIPLANYR,balanceada,0.7416008710861206,0.1761952340602874,385.0,7437.0,0.6580455899238586,0.0586431622505188,0.0490985810756683,0.4993498027324676,0.6534698605537415,0.792283296585083,0.1712633073329925,97.0,1475.0,0.5813825726509094,0.0477553978562355,0.0496134012937545,0.4425287246704101,0.6506533622741699,34
IRSUIPLANYR,balanceada,0.7535264492034912,0.183551475405693,382.0,7079.0,0.6547781825065613,0.0588185973465442,0.0518349856138229,0.5032509565353394,0.6606623530387878,0.793868899345398,0.1700984537601471,98.0,1462.0,0.5974060297012329,0.053135585039854,0.049414824694395,0.4367816150188446,0.6463375687599182,35
IRSUIPLANYR,balanceada,0.7430543899536133,0.17990243434906,378.0,7400.0,0.6504243612289429,0.0584454536437988,0.0501861125230789,0.5084525346755981,0.673102080821991,0.8003435730934143,0.1653651297092437,102.0,1409.0,0.5807518362998962,0.0540531985461711,0.0486157983541488,0.4137931168079376,0.6490020155906677,36
IRSUIPLANYR,balanceada,0.7378348708152771,0.1811101734638214,369.0,7567.0,0.6489120721817017,0.0622008331120014,0.0502071045339107,0.5201560258865356,0.6613848805427551,0.7821089029312134,0.175588846206665,92.0,1557.0,0.6024640202522278,0.0544705167412757,0.0500305071473121,0.4712643623352051,0.6601593494415283,37
