estrategia_pesos,batch_size,learning_rate,target,descripcion,estado,epocas,mejor_epoca,checkpoint,historial
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,19,9,checkpoint_embeddings_mlp_lr0005_balanceada_iramdeyr_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_iramdeyr_v1.csv
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,20,10,checkpoint_embeddings_mlp_lr0005_balanceada_irsuicthnk_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_irsuicthnk_v1.csv
balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,26,16,checkpoint_embeddings_mlp_lr0005_balanceada_irsuiplanyr_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_irsuiplanyr_v1.csv
balanceada,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,28,18,checkpoint_embeddings_mlp_lr0005_balanceada_irsuitryyr_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_irsuitryyr_v1.csv
