clave_configuracion,descripcion,batch_size,learning_rate,perdida,optimizador,weight_decay,use_ema,pesos_tareas,estado,epocas,mejor_epoca,checkpoint,historial
sens_vars_ramas_32,Ramas específicas de 32 neuronas — conjunto reducido,256,0.0005,focal,adam,0.0,False,iguales,RECUPERADO,54,44,checkpoint_sensibilidad_variables_sens_vars_ramas_32_v1.keras,196_historial_sensibilidad_variables_sens_vars_ramas_32_v1.csv
sens_vars_sin_bn_ramas,Sin BatchNormalization en ramas — conjunto reducido,256,0.0005,focal,adam,0.0,False,iguales,RECUPERADO,34,24,checkpoint_sensibilidad_variables_sens_vars_sin_bn_ramas_v1.keras,196_historial_sensibilidad_variables_sens_vars_sin_bn_ramas_v1.csv
